date,open,high,low,close,volume
2026-05-27,20085,20295,19390,19465,25116723
2026-05-28,19630,19685,18450,19120,26201010
2026-05-29,19350,19355,18425,18730,31730935
2026-06-01,18725,19040,18330,18410,45055772
2026-06-02,18350,18650,17760,17955,54103322
2026-06-04,18105,18890,18105,18570,47731365
2026-06-05,18045,18300,17490,17555,30580914
2026-06-08,16225,16725,15610,15790,48721859
2026-06-09,16140,17260,16140,16760,50766912
2026-06-10,16520,17355,16195,16560,33065355
2026-06-11,16345,17645,15930,17635,24599920
2026-06-12,18360,18697,17920,18015,35357752
2026-06-15,18520,18720,18070,18295,15953181
2026-06-16,18300,18305,17750,17760,22126105
2026-06-17,17930,18380,17695,18215,21521621
2026-06-18,18135,18250,17600,17650,19545700
2026-06-19,17670,17725,16725,16965,39444798
2026-06-22,16800,17490,16750,17380,38144245
2026-06-23,17235,17480,15890,15930,36670381
2026-06-24,16105,16630,15845,16310,41282887
2026-06-25,16495,16770,15870,15870,23980856
2026-06-26,15865,16090,15085,15260,33024532
2026-06-29,15545,16740,15490,16710,40647187
2026-06-30,16700,16980,16365,16565,32404429
2026-07-01,16600,17400,16240,16625,27274764
2026-07-02,16135,16165,15300,15480,31880046
2026-07-03,15520,15600,14460,15230,45746898
2026-07-06,15225,15365,14390,14730,33464699
2026-07-07,14695,15300,14140,14535,33225529
2026-07-08,14205,14360,13435,13565,44622523
2026-07-09,13630,14365,13485,13770,50972699
2026-07-10,13800,14685,13745,14420,29742727
2026-07-13,14510,15080,13705,13800,48654336
2026-07-14,13785,13895,12710,13410,54270287
2026-07-15,13870,14405,13845,14345,29735455
2026-07-16,14010,14075,13460,13580,30998916
2026-07-20,13240,13500,12570,12610,47425229
2026-07-21,12575,12785,12225,12650,35975233
2026-07-22,13040,13360,12525,12525,27290890
2026-07-23,12745,13410,12715,13400,28512130
2026-07-24,13085,13120,12470,12510,29374071
2026-07-27,12795,13220,12635,12950,26408413
2026-07-28,12375,12440,11565,11845,36980364
2026-07-29,11985,12110,10430,11125,72213743
2026-07-30,10865,11400,10590,10605,65828695
2026-07-31,11370,12340,11275,12100,50479494
2026-08-03,11725,12880,11675,12470,46237248
2026-08-04,12760,13370,12680,13330,66609737
2026-08-05,13700,13710,13235,13545,30832052
2026-08-06,13545,13950,13140,13580,35447884
2026-08-07,13700,13955,13050,13605,25159454
2026-08-10,13810,14810,13720,14780,54948586
2026-08-11,14655,15200,14410,14780,52590474
2026-08-12,14685,14790,14305,14705,29279260
2026-08-13,14710,14985,14545,14800,29588942
2026-08-14,14890,15220,14405,14830,34894164
2026-08-18,14855,15090,14135,14190,47088437
2026-08-19,13760,14550,13625,14230,33206929
2026-08-20,14700,14820,14420,14615,23549412
2026-08-21,14235,14240,13660,13810,35849575
2026-08-24,13810,14260,13805,14075,39650206
2026-08-25,13860,14300,13400,14300,27268863
2026-08-26,14240,14395,14000,14200,22728928
2026-08-27,14125,14525,14120,14500,26133274
2026-08-28,14385,14570,14280,14475,27689785
2026-08-31,14100,14370,13760,14370,36010511
2026-09-01,14230,14345,13870,13950,35170765
2026-09-02,13530,13985,13435,13620,31186902
